iter	Passed	Remaining
0	1	191
1	3	167
2	4	157
3	5	142
4	7	142
5	9	142
6	10	143
7	14	165
8	16	164
9	17	158
10	18	153
11	20	148
12	21	144
13	31	191
14	32	185
15	34	183
16	36	177
17	37	171
18	40	174
19	45	183
20	47	178
21	49	174
22	51	171
23	63	201
24	65	197
25	74	211
26	78	211
27	107	277
28	111	273
29	116	271
30	121	270
31	123	263
32	126	255
33	128	248
34	137	255
35	139	248
36	142	242
37	171	280
38	173	271
39	180	270
40	183	263
41	185	256
42	187	248
43	194	247
44	197	241
45	199	234
46	202	228
47	213	230
48	215	224
49	217	217
50	223	214
51	226	208
52	228	202
53	230	196
54	232	190
55	235	185
56	239	180
57	241	174
58	243	168
59	245	163
60	246	157
61	247	151
62	257	151
63	259	145
64	260	140
65	263	135
66	272	134
67	275	129
68	276	124
69	277	119
70	281	114
71	283	110
72	286	105
73	288	101
74	289	96
75	291	91
76	292	87
77	294	83
78	302	80
79	304	76
80	306	71
81	311	68
82	317	64
83	318	60
84	320	56
85	321	52
86	322	48
87	326	44
88	329	40
89	331	36
90	332	32
91	334	29
92	336	25
93	338	21
94	340	17
95	342	14
96	343	10
97	346	7
98	351	3
99	355	0
